date,n_positive,n_negative,n_neutral,n_total,neutral_ratio,s1_primary,s2_alternate,s3_prob_weighted,s4_conf_weighted,avg_confidence,avg_pos_prob,avg_neg_prob,avg_neu_prob
2017-01-01,8,7,21,36,0.5833,0.066667,0.027778,-0.078972,-0.375,0.6082,0.2588,0.3378,0.4034
2017-01-02,15,23,39,77,0.5065,-0.210526,-0.103896,-0.153678,-0.344828,0.6914,0.2413,0.3949,0.3638
2017-01-03,54,24,56,134,0.4179,0.384615,0.223881,0.134666,0.490909,0.6901,0.4088,0.2741,0.3171
2017-01-04,39,37,81,157,0.5159,0.026316,0.012739,-0.046237,0.098361,0.6863,0.2945,0.3407,0.3648
2017-01-05,55,43,61,159,0.3836,0.122449,0.075472,0.016076,0.2,0.7123,0.3435,0.3274,0.3291
2017-01-06,18,23,30,71,0.4225,-0.121951,-0.070423,-0.121522,-0.266667,0.6801,0.2796,0.4012,0.3192
2017-01-07,15,17,29,61,0.4754,-0.0625,-0.032787,-0.114604,-0.166667,0.642,0.2629,0.3775,0.3596
2017-01-08,12,33,41,86,0.4767,-0.466667,-0.244186,-0.231429,-0.37931,0.661,0.1912,0.4226,0.3862
2017-01-09,34,48,58,140,0.4143,-0.170732,-0.1,-0.134073,-0.150943,0.682,0.259,0.3931,0.348
2017-01-10,51,32,64,147,0.4354,0.228916,0.129252,0.044628,0.244898,0.6633,0.3474,0.3027,0.3499
2017-01-11,29,38,37,104,0.3558,-0.134328,-0.086538,-0.11779,-0.102041,0.7014,0.2888,0.4065,0.3047
2017-01-12,44,55,66,165,0.4,-0.111111,-0.066667,-0.096109,-0.129032,0.6758,0.2812,0.3773,0.3416
2017-01-13,31,42,64,137,0.4672,-0.150685,-0.080292,-0.132205,-0.3,0.6789,0.2514,0.3836,0.365
2017-01-14,12,12,23,47,0.4894,0.0,0.0,-0.014624,0.166667,0.6318,0.3084,0.323,0.3686
2017-01-15,14,19,35,68,0.5147,-0.151515,-0.073529,-0.084507,0.0,0.6544,0.2615,0.346,0.3925
2017-01-16,27,36,41,104,0.3942,-0.142857,-0.086538,-0.143289,-0.166667,0.7353,0.2785,0.4218,0.2997
2017-01-17,28,36,44,108,0.4074,-0.125,-0.074074,-0.119078,-0.204082,0.698,0.2848,0.4039,0.3113
2017-01-18,40,47,58,145,0.4,-0.08046,-0.048276,-0.09639,-0.104478,0.7065,0.2911,0.3875,0.3215
2017-01-19,35,47,76,158,0.481,-0.146341,-0.075949,-0.132741,-0.214286,0.6692,0.2517,0.3845,0.3638
2017-01-20,39,59,78,176,0.4432,-0.204082,-0.113636,-0.13929,-0.216216,0.6894,0.261,0.4003,0.3386
2017-01-21,7,8,7,22,0.3182,-0.066667,-0.045455,-0.029487,0.083333,0.7274,0.3347,0.3641,0.3012
2017-01-22,6,17,20,43,0.4651,-0.478261,-0.255814,-0.223806,-0.538462,0.6511,0.2066,0.4304,0.3631
2017-01-23,37,54,85,176,0.483,-0.186813,-0.096591,-0.106742,-0.101695,0.6563,0.258,0.3648,0.3772
2017-01-24,45,28,63,136,0.4632,0.232877,0.125,0.051158,0.288462,0.6759,0.3491,0.2979,0.353
2017-01-25,48,32,64,144,0.4444,0.2,0.111111,-0.006518,0.0,0.6724,0.3234,0.3299,0.3466
2017-01-26,17,18,39,74,0.527,-0.028571,-0.013514,-0.04393,0.25,0.6496,0.2889,0.3328,0.3784
2017-01-27,38,37,75,150,0.5,0.013333,0.006667,-0.062276,-0.101695,0.6912,0.2885,0.3508,0.3607
2017-01-28,14,14,29,57,0.5088,0.0,0.0,-0.073855,-0.25,0.6778,0.2764,0.3502,0.3733
2017-01-29,14,18,34,66,0.5152,-0.125,-0.060606,-0.083691,-0.125,0.6749,0.2724,0.3561,0.3716
2017-01-30,48,54,94,196,0.4796,-0.058824,-0.030612,-0.108582,-0.257143,0.6809,0.2615,0.3701,0.3685
2017-01-31,20,27,53,100,0.53,-0.148936,-0.07,-0.105776,-0.138889,0.6699,0.2524,0.3582,0.3893
2017-02-01,71,40,127,238,0.5336,0.279279,0.130252,0.041659,0.222222,0.6379,0.326,0.2843,0.3897
2017-02-02,76,33,96,205,0.4683,0.394495,0.209756,0.122695,0.459459,0.6699,0.3797,0.257,0.3632
2017-02-03,66,50,87,203,0.4286,0.137931,0.078818,-0.000385,0.114943,0.6894,0.3317,0.332,0.3363
